wpi,port,country,size,type,tidal_range,entrance_width,channel_depth,latitude,longitude
37010,La Rochelle,France,Medium,Coastal (Tide Gates),3.0,0.0,11.0,46.149999999999999,-1.150000000000000
37040,Rochefort,France,Medium,River (Tide Gates),12.0,0.0,1.8,45.933332999999998,-0.950000000000000
37160,Blaye,France,Small,River (Natural),13.0,0.0,7.9,45.133333000000000,-0.666667000000000
37170,Ambes,France,Small,River (Natural),13.0,0.0,6.4,45.016666999999998,-0.533333000000000
37190,Bordeaux,France,Large,River (Tide Gates),0.0,0.0,12.5,44.866667000000000,-0.566667000000000
37230,Bayonne,France,Medium,River (Natural),3.0,0.0,4.9,43.500000000000000,-1.466667000000000
37290,Puerto De Pasajes,Spain,Medium,River (Natural),5.0,0.0,9.4,43.333333000000003,-1.933333000000000
37350,Bermeo,Spain,Very Small,Coastal (Breakwater),5.0,0.0,4.9,43.416666999999997,-2.716667000000000
37470,Santander,Spain,Medium,River (Natural),3.0,0.0,11.0,43.466667000000001,-3.783333000000000
37560,Gijon,Spain,Small,Coastal (Breakwater),3.0,0.0,18.6,43.549999999999997,-5.666667000000000
37600,Aviles,Spain,Small,Canal or Lake,3.0,0.0,9.4,43.600000000000001,-5.933333000000000
37740,Ferrol,Spain,Medium,River (Natural),4.0,0.0,11.0,43.483333000000002,-8.233333000000000
37770,La Coruna,Spain,Small,Coastal (Natural),4.0,0.0,17.1,43.366667000000000,-8.400000000000000
37830,Villagarcia De Arosa,Spain,Very Small,Coastal (Natural),4.0,0.0,20.1,42.600000000000001,-8.766667000000000
37900,Vigo,Spain,Medium,Coastal (Breakwater),3.0,0.0,23.2,42.233333000000002,-8.716666999999999
37970,Aveiro,Portugal,Medium,River (Natural),3.0,0.0,6.4,40.649999999999999,-8.650000000000000
38000,Setubal,Portugal,Small,River (Natural),4.0,0.0,11.0,38.516666999999998,-8.900000000000000
38005,Sines,Portugal,Medium,Coastal (Breakwater),4.0,0.0,0.0,37.950000000000003,-8.866667000000000
